title,language,censor_rating,booking_url,heart_count,user_rating,venues,event_date,show_times,min_price,category,image_url,event_code,city,scraped_at
AAMRAPAALI WATERPARK AND RESORTS,,,https://in.bookmyshow.com/activities/aamrapaali-waterpark-and-resorts/ET00493564,,,,,,,activities,,ET00493564,Lucknow,2026-07-18T03:42:46.348388+00:00
Anandi Magic Water World - Lucknow,,,https://in.bookmyshow.com/activities/anandi-water-park-lucknow/ET00493890,,,,,,,activities,"https://assets-in.bmscdn.com/discovery-catalog/events/tr:w-600,h-400,fo-auto/et00493890-fevtzkenfs-landscape.jpg",ET00493890,Lucknow,2026-07-18T03:42:46.348388+00:00
Board Games,,,https://in.bookmyshow.com/activities/board-games/ET00494816,,,,,,,activities,,ET00494816,Lucknow,2026-07-18T03:42:46.348388+00:00
Bollywood Take Over DJ Night,,,https://in.bookmyshow.com/activities/skyline-sessions-open-air-dj-night/ET00506115,,,,,,,activities,,ET00506115,Lucknow,2026-07-18T03:42:46.348388+00:00
Imagicaa Theme Park,,,https://in.bookmyshow.com/activities/imagicaa-theme-park/ET00014607,,,,,,,activities,,ET00014607,Lucknow,2026-07-18T03:42:46.348388+00:00
Imagicaa Water Park,,,https://in.bookmyshow.com/activities/imagicaa-open-ticket/ET00310275,,,,,,,activities,"https://assets-in.bmscdn.com/discovery-catalog/events/tr:w-600,h-400,fo-auto/et00310275-bztaxgxbfm-landscape.jpg",ET00310275,Lucknow,2026-07-18T03:42:46.348388+00:00
Jai Hind - Red Fort Light and Sound Show,,,https://in.bookmyshow.com/activities/jai-hind-red-fort-sound-light-show/ET00350160,,,,,,,activities,"https://assets-in.bmscdn.com/discovery-catalog/events/tr:w-600,h-400,fo-auto/et00350160-avseyturna-landscape.jpg",ET00350160,Lucknow,2026-07-18T03:42:46.348388+00:00
Lucknows Biggest Dubai Theme Rose Pool Party,,,https://in.bookmyshow.com/activities/lucknows-biggest-dubai-them-rose-pool-party/ET00505336,,,,,,,activities,"https://assets-in.bmscdn.com/discovery-catalog/events/tr:w-600,h-400,fo-auto/et00505336-smpxukksps-landscape.jpg",ET00505336,Lucknow,2026-07-18T03:42:46.348388+00:00
M.P. Birla Planetarium Kolkata,,,https://in.bookmyshow.com/activities/m-p-birla-planetarium-kolkata/ET00458912,,,,,,,activities,,ET00458912,Lucknow,2026-07-18T03:42:46.348388+00:00
Murders of Melonville,,,https://in.bookmyshow.com/activities/murders-of-melonville/ET00506374,,,,,,,activities,,ET00506374,Lucknow,2026-07-18T03:42:46.348388+00:00
